sample_id,pred_class,pred_regression,main_modality,evidence_modality,impact_score,start_sec,end_sec,frame_start,frame_end,text_evidence
01,2,0.641072154045105,text,text,0.04781545326113701,2.52,3.78,75,112,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements
02,0,-0.08670832961797714,audio,text,0.09741479158401489,0.4713333333333333,0.9426666666666667,14,27,We want to live by each other’s happiness - not by each other’s misery.
03,0,0.05032320320606232,audio,text,0.12385858595371246,2.6973333333333334,4.045999999999999,80,120,"There's one lender at the moment which I think is just Bankwest who don't take rental income into account, they take rental yield into account."
04,1,0.3423542380332947,audio,text,0.1243135929107666,1.9320000000000002,2.898,57,85,"If I blow it at the team exercise, should I kiss my chances of cheering ""GO BLUE"" goodbye?] Absolutely not."
05,2,0.48795145750045776,text,text,0.04256496950984001,0.8539999999999999,1.7079999999999997,25,50,"Hi, my name is Chloe, video marketer for Red Wagon Marketing."
06,2,0.540617823600769,text,text,0.051431804895401,0.0,1.1526666666666665,0,33,"If you're a fan of dancing in that sense, just like to watch people dance, see impressive dance moves then you might want to check out this movie solely for that"
07,2,1.1184756755828857,text,text,0.08272730559110641,0.0,2.9819999999999998,0,88,"As Linn’s associate editor Michael Baadke reports in our November 28 issue, attendees “enthusiastically discussed the topics of growing the hobby, the future of stamp shows, and dealers and philatelic partnerships, along with ways the leading organizations involved in the stamp hobby can work together to make it succeed and grow"
08,2,0.8715217113494873,text,text,0.0522899404168129,0.0,0.6953333333333334,0,19,"That brings us to tonight, the Universal Design Grand Challenge"
09,0,-1.9808928966522217,text,text,0.12809094786643982,4.228,4.932666666666666,126,146,"(uhh) I did not like this movie at all, I would not recommend it"
10,0,-0.7356126308441162,text,text,0.20638437569141388,6.883333333333334,8.26,206,246,(umm) And you know I really do like to see fluffy chick flicks sometimes so I'm not against that but this one was pretty terrible
11,0,-1.4799723625183105,text,text,0.16469167172908783,1.624,2.436,48,72,I would be ashamed to have made this film if I was a director
12,0,-1.3889446258544922,text,text,0.12203069031238556,5.432,7.242666666666667,162,216,"Or worse, an individual previously had good credit, but usually by no fault of their own, or perhaps by fault of their own, they have let their credit sag, and credit scores is very low."
13,2,0.06048497557640076,text,text,0.03214967995882034,1.2133333333333334,2.4266666666666667,36,71,"For example, I could take a set of data and from that data, I can find a relationship between any two of the given factors or more."
14,2,1.0758442878723145,text,text,0.03189665824174881,8.624,10.061333333333334,258,300,He is the co-founder of Rossen and Vettese Limited and the former Executive Director of Uniform Final Examination (UFE) courses at Toronto's York University.
15,2,0.9467169642448425,text,text,0.04834744334220886,4.1066666666666665,5.133333333333333,123,153,"However, despite their poverty, the family prioritize education because they believed in its power to transform lives"
16,0,-2.6106021404266357,text,text,0.03623277693986893,2.6040000000000005,3.0380000000000003,78,90,"It's a terrible, this is a terrible movie"
17,2,1.075547456741333,text,text,0.042718857526779175,2.6973333333333334,4.045999999999999,80,120,"Applying these four design concepts to your presentations is simple, easy and will make people think you turned into a design guru."
18,2,-1.0973143577575684,vision,text,0.17369526624679565,13.09,15.708,392,470,"-And in Denmark - the first Baltic Cod fishery has been MSC – certified -Meanwhile, the Faeroese Mackerel Fishery has been denied MSC certification based on the fact that the fishery has failed to reach an agreement on mackerel quotas with Norway and the European Union."
19,2,0.46112045645713806,text,text,0.1645233929157257,11.452,13.360666666666667,343,399,"People are surprisingly forgiving brands when they own up to mistakes, and unfortunately some haters out there love to point fingers and jump all over imperfections, but for the most part, people understand"
20,2,0.8716873526573181,text,text,0.11420644819736481,9.128,10.649333333333335,273,318,"And of course, click in the link of the description of this video for more, and we'll have more live updates and a stock market video (wrap-up) at the end of the day today."
