sample_id,modality,rank,start_index,end_index,impact_score,source_video,source_type,start_sec,end_sec,frame_start,frame_end,fps,text_evidence,text_time_source,source_exists,mapping_precision,mapping_status
01,text,1,14,20,0.04781545326113701,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,2.52,3.78,75,112,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window,True,decoded_frame_range,mapped_to_video
01,text,2,28,34,0.04055051505565643,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,5.04,6.3,151,188,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window,True,decoded_frame_range,mapped_to_video
01,text,3,0,6,0.03499549627304077,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,0.0,1.26,0,36,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window,True,decoded_frame_range,mapped_to_video
01,audio,1,7,13,0.03018074296414852,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,1.26,2.52,37,74,30.0,,,True,decoded_frame_range,mapped_to_video
01,audio,2,21,27,0.0021177632734179497,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,3.78,5.04,113,150,30.0,,,True,decoded_frame_range,mapped_to_video
01,audio,3,42,48,0.000729480292648077,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,7.56,8.82,226,263,30.0,,,True,decoded_frame_range,mapped_to_video
01,vision,1,42,48,0.014346946962177753,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,7.56,8.82,226,263,30.0,,,True,decoded_frame_range,mapped_to_video
01,vision,2,28,34,0.014126453548669815,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,5.04,6.3,151,188,30.0,,,True,decoded_frame_range,mapped_to_video
01,vision,3,7,13,0.006898117251694202,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,1.26,2.52,37,74,30.0,,,True,decoded_frame_range,mapped_to_video
02,text,1,7,13,0.09741479158401489,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\02.mp4,attachment4_video,0.4713333333333333,0.9426666666666667,14,27,30.0,We want to live by each other’s happiness - not by each other’s misery.,raw_text; aligned relative window,True,decoded_frame_range,mapped_to_video
